Report generated on: 02-06-2025 11:53:45
"API","","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023"
"INTL.27-12-ETH-MTOE.A","        Ethiopia","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.27-12-FLK-MTOE.A","        Falkland Islands","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.27-12-FRO-MTOE.A","        Faroe Islands","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.27-12-FJI-MTOE.A","        Fiji","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.27-12-FIN-MTOE.A","        Finland","0.5696474632054059","1.1895958722183837","1.3607910570096233","1.4374032667780787","1.5304385203913993","1.5460017190087847","1.5475494404182486","1.593637144611169","1.5861564911320942","1.5485812546912243","1.569647462764481","1.593723129133917","1.5732588127198963","1.6278589846648672","1.586930351836826","1.569647462764481","1.5909028367877829","1.6369733440761538","1.7850386922481853","1.87661220897479","1.836199483283237","1.860189165129925","1.8211521918023394","1.8567497842200056","1.8555460009015337","1.9222699905539706","1.8915735159329397","1.9350816844434204","1.895958726593087","1.9433361986272273","1.8821152184306613","1.914531383506652","1.8970765253888109","1.9495270842650823","1.9472055021508865","1.919690454871531","1.9157351668251237","1.8550300937650457","1.8814273422486774","1.9703353387700948","1.9220980215084746","1.945812552882369","2.0826311254789642","2.8174321913630545"
"INTL.27-12-CSK-MTOE.A","        Former Czechoslovakia","0.38693035236593615","0.4385210660147276","0.49871023193831765","0.533104041037512","0.6276870160602964","1.0232158207010311","1.539122957188946","1.799999999206335","1.8871883052727925","1.9913155623206034","2.012037832302868","1.9365434213301362","2.0006018907773857","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"INTL.27-12-SCG-MTOE.A","        Former Serbia and Montenegro","--","--","--","--","--","--","--","--","--","--","--","--","0","0","0","0","0","0","0","0","0","0","0","0","0","0","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"INTL.27-12-SUN-MTOE.A","        Former U.S.S.R.","6.266435454450987","5.507342402113721","8.47998665736053","9.434715674692963","12.204868574247975","14.61416281660698","13.03119507958612","15.154981120971271","17.51559343780574","18.288201930930253","17.30923559079183","17.3254514111054","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"INTL.27-12-YUG-MTOE.A","        Former Yugoslavia","0","0.023559759232948112","0.2052450557994421","0.3172828889400676","0.3581255372453609","0.3472055028563667","0.3472055028563667","0.36423043836046787","0.3350816851489007","0.3828890797967808","0.3775580393864057","0.3586414443818488","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"INTL.27-12-FRA-MTOE.A","        France","5.453482370768252","8.532674114896372","8.824333616057539","11.692863279453094","15.517626820328998","18.15924332819262","20.598280300461983","21.432932062776683","22.38065347250498","24.82502148518472","25.655803943975762","27.065606178951736","27.64598451059609","30.075580382267727","29.405159058401683","30.814230424934298","32.456835755250445","32.305159057123","31.693121224202837","32.20395527384862","33.912639709896595","34.39535682060379","35.67687014763977","36.028976768292765","36.614703337252045","37.07480651847652","36.95786756753926","36.12459155758853","36.09630264960444","33.684694740091686","35.071195169402955","36.20614787741499","34.813413570204496","34.711496115391306","35.75767840211832","35.83790196184219","33.018753209860805","32.59621666662493","33.80346516136348","32.62803094004168","28.84042990989746","31.014935497932647","23.986353488993892","27.58124816496685"
